,title_amzn,description_amzn,manufacturer_amzn,price_amzn,id_amzn
604,mcafee virusscan plus 2007,with the wide variety of viruses hackers and blended threats lurking on the internet today you need more than a simple antivirus program to keep your pc and files secure. mcafee virusscan plus antivirus firewall & antispyware is the essential combination of protection to combat and defeat even the most sophisticated attacks. surf the web and download files safely knowing mcafee shields your computer around the clock. the mcafee securitycenter lets you view your protection status with just one click. view larger. mcafee offers a variety of software solutions to give you the level of protection that's right for your family or small business. view larger. 3-in-1 protection mcafee virusscan plus is 3-in-1 protection from viruses hackers and spyware that you can trust. relax knowing that you always have the latest protection updates software upgrades and enhancements delivered to you automatically. with mcafee you always have the most up-to-date protection. stop viruses. mcafee virusscan plus automatically blocks cleans and removes viruses so you can surf the web the safely. it cleans files e-mails internet downloads and instant messaging attachments and prevents the spread of viruses to co-workers friends and family. block spyware. mcafee also blocks spyware before it can install on your computer and removes existing spyware. secure your identity and privacy - while also keeping your pc from getting clogged with unnecessary programs and files. stop hackers. mcafee virusscan plus protects and conceals your computer from hackers so you can connect to the internet safely. the built-in firewall automatically denies internet access to malicious applications while allowing trusted programs to connect without unnecessary alerts or false alarms. in addition you are fully integrated with hackerwatch.org an anti-hacking database that provides additional tools and resources on hacker activities. security simplified the new mcafee securitycenter makes security easy. with one-click you can view your protection status. you can also check for updates and fix potential security issues. safe searching with mcafee siteadvisor in addition to 3-in-1 protection you get mcafee siteadvisor's web safety ratings which help you stay safe from adware spyware spam and online scams as you search browse and shop online. always on always protecting always updating when you install mcafee virusscan plus you are subscribing to the most up-to-date security software delivered to you by mcafee's patented security as a service (sas) technology. daily threat protection and updates are delivered to you 24/7 from mcafee's world-class research center mcafee avert labs. free software upgrades and enhancements are provided as long as your subscription is active. mcafee offers a variety of renewal options to keep your mcafee protection current. teams of experts are available 24/7 via internet chat and e-mail by visiting www.mcafeehelp.com. there is a 30-day money-back guarantee. if you are not 100% satisfied mcafee offers a full refund. new and improved features for 2007 mcafee virusscan plus includes these new and improved features: new: integrated anti-virus anti-spyware and firewall technologies. improved: spyware protection detects blocks and removes spyware and adware. new: complete inbound and outbound firewall protection automatically trusts known good applications and helps block spyware trojans and key loggers. new: mcafee systemguards watch your computer for specific behaviors that may signal virus spyware or hacker activity. new: mcafee x-ray for windows detects and kills rootkits and other malicious applications that hide from windows and other anti-virus programs. new: mcafee siteadvisor adds safety ratings to sites and search engine results based on comprehensive spam adware and online scam safety tests. new: stealth mode hides your presence on the internet. improved: mcafee securitycenter. new: mcafee network manager monitors pcs across your network for security weaknesses so you can easily identify network security issues. new: built-in computer health and performance tools.,mcafee,39.99,b000he4riu
605,the print shop 22 pro publisher deluxe sb cs by the print shop,the print shop 22 pro publisher deluxe delivers more creative tools than any other print shop product along with the professional features you need to take control of your business communications. 400 000+ premium images & graphics plus! 22 000 professionally designed project templates! packed with the text and layout tools you need you'll easily create high quality projects including multi-page brochures stationery cd/dvd labels newsletters and more. enhanced photo editing tools provide the professional touch you need to make your photos look your best. whether you create slideshows burn to cd resize for a mobile phone or design and publish your own web pages showcasing your photos is easier than ever. new project size options photo quality printing and borderless print features mean your projects will have the refined look you want. dynamic project and image search capabilities will help you quickly and effortless find your saved projects or the perfect image or graphic for your creation. for easy share options export your projects to multiple file types including pdf jpeg tiff gif and much more! even manage your time with calender creator express the address book and improved mail merge for effortless mailings every time!,encore software,99.95,b000he9psc
606,brainfood games cranium collection 2006,brain food games cranium collection is back and better than ever! packed with 4 full-version games - this collection will be sure to tickle and tease your brain! hoyle word games: 9 ingenious word games with hundred of variations customize the skill level background and even music for the ultimate gaming experience! includes webster's new world college dictionary for easy references during game play! who wants to be a millionaire? over 600 new and more complex questions! multiple choice answers complete the millionaire game play experience - feel like you're actually in the hot seat! fastest finger contest and two-player action provide extra fun for you and you family and friends. all-new lifeline options provide more than 15 wacky phone-a-friend characters. plus - regis' humorous commentaries are funnier than ever! professor fuji's sudoku: 1 000 puzzle grids in 3 different levels cheat mode boss-hide key and a built-in timer make this sudoku game perfect for beginners and experts alike! printable puzzles allow you to take sudoku on-the-go! smart games challenge 2: loaded with over 1 400 new puzzles to stimulate strengthen and sharpen your brain! logic perception word trivia and strategy puzzles offer hundreds of levels of difficulty for brains of all sizes! exercise your brain with quirky puzzles like brain candy mass transit leap frog and say what? - guaranteed to bewilder bamboozle and boggle your mind brain food games - new content new games to train your brain for maximum efficiency!,encore software,19.99,b000hed3f8
607,the print shop 22 deluxe sb cs by the print shop,the print shop 22 deluxe offers the best in total personal creativity. 350 000+ images & graphics plus 20 000+ project templates! packed with new features and tools you have everything you need to satisfy your creative side. enhanced photo editing features provide professional looking results to make your photos perfect every time. easily add them to any project create slideshows burn to cd or resize for your mobile phone. new project size options photo quality printing and borderless print features mean your projects will have the refined look you want! dynamic project and image search capabilities will help you quickly and effortless find your saved projects or the perfect image or graphic for your creation. for easy share options export your projects to multiple file types including pdf jpeg tiff gif and much more! even manage your time with calender creator express the address book and improved mail merge for effortless mailings every time. the creative possibilities are endless with the print shop 22 deluxe!,encore software,49.95,b000hed3fi
608,family tree maker version 16 collectors edition sb cs,with family tree maker version 16 collector's edition you'll have the world's most popular resource for creating your family tree. in just a few steps you'll get the information you need to organize and design your family tree. import photos and documents to professionally designed templates to create a unique keepsake -- then share your findings with family and friends.,encore software,99.99,b000hed3fs
609,the print shop design suite pro ed sb cs by the print shop,the print shop design suite professional edition,encore software,199.99,b000hed3gm
610,britannica deluxe,,avanquest software,29.95,b000hedyio
611,monopoly 3,monopoly 3 brings the best-selling board game to the pc with fresh new features and gameplay that has captivated generations. featuring cleverly animated tokens bright 3d graphics and the choice of 10 different major city gameboards plus the classic gameboard. compete with up to six players or wheel and deal over the internet. (internet play requires optional fee.),encore,9.99,b000hhvb2w
613,monopoly here & now,monopoly here and now extends the fun of the classic board game by taking you out of atlantic city and letting you buy some of the best modern real estate. the world has changed amazingly over the last 70 years and this special anniversary edition celebrates monopoly with a new spin on the old game. choose from a range of new movers including a mobile phone roller blade or even a cheeseburger! the rent has rocketed sky high in a much more recognisable london. you can build property in covent garden visit the london eye or make millions in the city.,encore,19.95,b000hhvb9k
614,monopoly tycoon,monopoly tycoon is a perfect way of adapting monopoly to the computer age. in monopoly tycoon you'll get down to street level and monopolize a living city! it's your favorite monopoly with a twist. it's also a sim game where you're building your own city but with greater competition and challenge from other opponents. get ready for a monopoly as you've always loved with a more real experience than ever. build in real-time against up to 5 ruthless human or computer opponents witness the passage of time move from the 30's to present day multiplayer lan and competitive play offer fun and addictive action with limitless replayability,encore,9.99,b000hhvbdq
615,hasbro classic collection ( 2006 ),the family game collection combines digital version of four classic board games. you'll have hours of fun as you play the game of life monopoly 3 clue and scrabble complete.,encore,19.99,b000hhxevi
616,axis & allies collector's edition,axis & allies is a classic board game that centers on strategy and forward thinking. now the thrills and challenge of wwii strategy come to your computer bringing all the original action and drama with it! special collector's edition.,encore,19.99,b000hhzie4
617,axis & allies (jewel case),axis and allies allows you to determine the fate of the world. command the army navy and air force of one of the 5 world powers during world war ii. true to history the conflict begins in 1939. when it stops is up to you. it's one of the most dynamic wwii real time strategy experiences you can have.,encore,9.99,b000hi1i6u
618,scrabble champion edition,scrabble champion edition takes the challenge of making the best use of 7 letter tiles for just the right combination of wordplay competition and fun.,encore,19.95,b000hi1i9c
619,mac os x server v10.4.7 10-client,mac os x server offers more than 200 new features for the advanced server user. it has everything you need to provide standards-based workgroups and internet services plus builds of the latest open source projects. enable secure and efficient collaboration. host dynamic websites stream media and run enterprise applications. the stable high-performance 64-bit computing platform is ideal for deploying server-based applications and services. apple has embraced the best open source projects such as apache samba openldap kerberos postfix jabber and spamassassin. mac os x server integrates these robust technologies and enhances them with a unified consistent management interface. best of all it's streamlined into simple management tasks with applications and utilities that are both powerful and easy to use. all the advanced features an experienced it professional needs are right here. configure multiple network interfaces into a single one using ieee 802.3ad set up complex network services using a single connection to the interne protect mail server clients from viruses and unwanted email with adaptive junk mail filtering and virus detection,apple,499.0,b000hj9r3u
620,mac os x server v10.4.7 unlimited client,brand new full retail box,apple,999.0,b000hjdpx8
621,hoyle 4-pack 2006,4 addictively fun favorites!product informationthis game collection includes four full-version feverishly fun games from theexperts at hoyle!&nbsp; round up your family and friends for loads of fun.&nbsp;whether its cards slots mahjongg or pool there's so,encore software,19.95,b000hjott2
622,autocad 2007 courseware customizing the interface,autocad 2007 courseware customizing the interface,autodesk psg,47.95,b000hkgj8k
623,zonealarm internet security suite,,zone labs,49.99,b000hkpb3e
624,power production storyboard quick,storyboard quick is the easy-to-use quick-to-create professional storyboarding tool for directors writers producers and creatives who need a perfect combination of power creativity and ease of use. with new features and content storyboard quick makes it so you can organize your ideas create your shots sell your concepts and make your movie! use your digital photos as locations and add characters to your scenes print your storyboards in any number of professional formats import digital images of almost any file type export your boards to html/create a website of your storyboards draw tools to draw in frame or add text in frame view and arrange your entire project through the overview save time and money by using the quickest and easiest digital storyboard solution!,power production,0.0,b000hl1eie
625,fate,encore fate - arrive in the fabled forest town of grove and travel to the outskirts where the old wood meets the dungeon gate. past this iron-clad gate you will determine your destiny and build providence. get tips from townspeople to acquire power with unique weaponry and magic spells. your faithful companion (a cat or jack russell terrier) defends you against monsters that lurk within dark dangerous corridors. within these mysterious walls you'll find infinite adventure and perhaps fortune and glory. take the dare ...test your worth ...and determine your fate!,encore,19.99,b000hlp5w0
626,hoyle bridge club,hoyle bridge club is a friendly funny new take on the classic card game. choose from 11 unique characters from zany goofballs to stiff businessmen - even a pirate and a puppy. all characters have their own voice-acting and playing styles to make each game different. along with standard bidding conventions it also has game saves reloads and hand replays. also features a variety of backgrounds card backs and sound sets to make the experience more colorful.,encore,29.95,b000hlp5wa
627,hoyle: classic collection 2006,like a virtual casino on your pc / software includes card games roulette and other games of chance - or is it skill?,encore,19.99,b000hlp5yi
628,human body 360,human body 360 is the most comprehensive anatomy software for exploring the fascinating inner world of the human body! human body 360 holds a world of authoritative information on the world within the human body. this 2-dvd set features fully updated and complete information presented through spectacular multimedia displays high-resolution pictures and animation. it's a total guide to the interior workings of humanity. for serious students adults medical professionals,megasystems,29.99,b000hlp64w
629,adobe photoshop elements 5.0 premiere elements 3.0 bundle,adobe photoshop elements 5.0 plus adobe premiere elements 3.0 software combines two powerful yet easy-to-use products to deliver the most complete photo- and video-editing solution. jazz up photo slide shows with video effects and transitions and use freeze frames to add a dramatic pause to your video or to make professional-looking printed dvd covers and labels. now telling your stories with photos and videos is easier than ever before. convert any color photo into a rich black-and-white photos by selecting from an array of variation samples. view larger. choose from many styles of templates and frames to form a photo collage. view larger. easily organize your photos and video clips with visual tagging options that let you categorize by people places or events. view larger. wow your audience with hundreds of eye-catching video effects and transitions that are easy to apply with drag-and-drop simplicity. move video footage from camera to dvd in two simple steps or drop it into the sceneline where you can easily rearrange clips and add effects with drag-and-drop simplicity. for more control use the timeline view which offers more editing options. view larger. edit and preview your movie in one convenient place& 151;the monitor window& 151;where you can split and trim clips add effects and more. view larger. combine photos and videos in entertaining new ways using photoshop elements and premiere elements together gives you more creative control. you can create a photo slide show then add video-style effects transitions and titles. then burn the slide show to dvd to share with family and friends. add a dramatic effect to your video by capturing a single video frame then use photoshop elements to add text graphics and other enhancements. then insert it back into your video for a dramatic freeze-frame effect. make high-quality dvd covers: grab a video frame and edit it like a photo to create a personalized printed dvd cover or label. mix up your videos and create visual depth by including scanned vintage photos and digital stills in your movies. perfect your photos and express your creativity photoshop elements is designed to be easy to use; you can fix photos in a snap with intelligent features that automatically correct skin tone lighting color and contrast. even see red eye removed automatically as you download photos. more experienced users can take advantage of photoshop elements' advanced tools. these tools let you make adjustments to color lighting exposure brightness and contrast. the new adjust color curves controls make it even easier to fine-tune color brightness and contrast. other advanced innovations include the healing brush for removing wrinkles and unwanted objects the spot healing brush for getting rid of dust and scratches in old photos and shadow/highlight for lightening shadows and reducing the glare of highlights. give your color originals a dramatic elegant look by turning them into rich black-and-white photos by selecting from an array of variation samples. easily correct camera lens distortion at photo edges and keystone effects that exaggerate perspective. get crisper-looking photos by sharpening blurred edges even remove blurring caused by low-light conditions. photoshop elements' creativity tools let you present your photos in creative entertaining ways. use flexible layout options as a starting point for your creations: choose a blank slate basic frameworks or professionally designed themes. create memorable keepsakes in so many ways: create custom slide shows cards album pages cd and dvd covers scrapbook layouts photo books prints flipbooks and much more. take advantage of flash technology to share your photos in interactive web galleries and animate your photos with a choice of themes such as a spinning carousel to provide an interactive viewing experience. set off your photos with more than 100 included frames from traditional to elegant to avant-garde. enjoy integrated access to online services such as sharing photos and photo creations on the web and ordering prints and hardbound photo books--all from within photoshop elements. easily upload your photos to ceiva digital receivers that automatically receive and display new photos daily. turn your photos into real u.s. postage at photostamps.com (u.s. only). photoshop elements 5.0 also adds the map view so you can find photos by the locations where they were taken. simply drag photos to any location in the new map view which is tied to online satellite views. even upload your map view to the web for easy sharing with friends and family. in addition to the powerful image-editing tools elements 5.0 includes great tools for downloading organization and archiving your photos. easily create impressive home videos and dvds premiere elements makes it easy to import video audio and still images from virtually any media device including dv and dvd camcorders hdv devices web digital still and mobile phone cameras unprotected dvds mpeg-4 video recorders windows media center and video clips from selected mobile phones. there is also native hdv support so you can achieve richer results by capturing and editing hdv footage in its native format. premiere elements gives you control of your video footage whether you want to burn it right to a dvd or spend time editing and adding creative elements. if you want to simply create dvds you can go from camcorder to disc in just a few clicks. or take advantage of the powerful video-editing tools that allow you to transform and personalize your video creation. for quick editing the sceneline view lets you assemble your video by drag and drop rearranging thumbnails of your clips and adding transitions and effects. for more precise control the timeline view offers premier elements' most advanced features. do all your editing in one convenient place: easily trim and split clips drag and drop effects and transitions add text and narration and more right in the monitor window. you can even create your own time-lapse movies claymations and other still-frame animations with the stop-motion video capture features. rock-solid performance and quality are included in all of adobe's premier software. for example you can view edits in real time as you make them by previewing your movie full-screen with just the click of a button. you can also feel free to experiment: with auto save multiple undos and the history panel you can always go back to a previous version. the soundtrack for your video can be rich and full with the quality of dolby digital stereo. and since video editing can take up a lot of processor speed and memory premier is optimized to support multiple processors and advanced multi-threading and hyper-threading technology on the latest pentium and centrino duo-based windows xp systems. if you want to make your video more dynamic you can add moving text and graphics. adding tv-style effects is simple& 151;just drag and drop one of the hundreds of amazing special effects you can customize and reuse. also choose from hundreds of eye-catching transitions to creatively move from one scene to the next. to apply a transition just drag and drop to apply effects such as dissolves fades and wipes. or you can create your own transition style. since videos are made to be seen premier elements includes powerful tools for outputting your movie. while creating a professional-quality dvd you can design unique dvd menus using your own video photos audio and text. or save time with automatic scene indexes or chapters that link to your video clips. create and watch your video in traditional tv (4:3.0) or widescreen (16:9) format in ntsc or pal standard for a worldwide audience. give your audience high-quality sound by automatically converting audio to industry-standard dolby digital stereo allowing you to burn more video onto a single disc without sacrificing sound quality. before you burn make sure your movie is just as you envisioned it by watching a full-screen preview on your computer or tv. then burn your finished movie to a single- or dual-layer dvd. for sharing on portable devices export a movie in the mpeg-4 format. mpeg-4 files can then be viewed on virtually any portable device& 151;including the video ipod and sony playstation portable.,adobe,149.99,b000hlt4tu
630,adobe premiere elements 3.0,premiere elements brings your home videos to life and helps you create and share them quickly and easily with friends and family. burn your footage to dvd in two simple steps or try the new sceneline to rearrange clips and add effects and enhancements with drag-and-drop simplicity. you can now download clips from some nokia mobile phones. and with support for major device formats you can share your movies on the web and virtually anywhere else. wow your audience with hundreds of eye-catching effects and transitions that are easy to apply with drag-and-drop simplicity. move footage from camera to dvd in two simple steps or drop it into the sceneline where you can easily rearrange clips and add effects with drag-and-drop simplicity. for more control use the timeline view which offers more editing options. view larger. edit and preview your movie in one convenient place& 151;the monitor window& 151;where you can split and trim clips add effects and more. view larger. easily create home videos and dvds premiere elements makes it easy to import video audio and still images from virtually any media device including dv and dvd camcorders hdv devices web digital still and mobile phone cameras unprotected dvds mpeg-4 video recorders windows media center and video clips from selected mobile phones. there is also native hdv support so you can achieve richer results by capturing and editing hdv footage in its native format. premiere elements gives you control of your video footage whether you want to burn it right to a dvd or spend time editing and adding creative elements. if you want to simply create dvds you can go from camcorder to disc in just a few clicks. or take advantage of the powerful video-editing tools that allow you to transform and personalize your video creation. for quick editing the sceneline view lets you assemble your video by drag and drop rearranging thumbnails of your clips and adding transitions and effects. for more precise control the timeline view offers premier elements' most advanced features. do all your editing in one convenient place: easily trim and split clips drag and drop effects and transitions add text and narration and more right in the monitor window. you can even create your own time-lapse movies claymations and other still-frame animations with the stop-motion video capture features. rock-solid performance and quality are included in all of adobe's premier software. for example you can view edits in real time as you make them by previewing your movie full-screen with just the click of a button. you can also feel free to experiment: with auto save multiple undos and the history panel you can always go back to a previous version. the soundtrack for your video can be rich and full with the quality of dolby digital stereo. and since video editing can take up a lot of processor speed and memory premier is optimized to support multiple processors and advanced multi-threading and hyper-threading technology on the latest pentium and centrino duo-based windows xp systems. wow your audience with amazing effects even if you're new to video editing you can raise the production value of your video by adding special effects. with narration features your video will tell the story in your own voice; simply add narration to your video as you edit. for adding titles or other text to your video adobe provides world-class fonts that are designed to look great on video. and adding text is easy since you can now type text right on screen then add a cool shadow glow or other effect to make it unique. if you want to make your video more dynamic you can add moving text and graphics. adding tv-style effects is simple& 151;just drag and drop one of the hundreds of amazing special effects you can customize and reuse. also choose from hundreds of eye-catching transitions to creatively move from one scene to the next. to apply a transition just drag and drop to apply effects such as dissolves fades and wipes. or you can create your own transition style. music can be an important part of your video so premier elements lets you add your music files and then edit your video to match the beat. for crediting your cast and crew choose from more than 100 professionally-designed templates. share your videos anywhere since videos are made to be seen premier elements includes powerful tools for outputting your movie. while creating a professional-quality dvd you can design unique dvd menus using your own video photos audio and text. or save time with automatic scene indexes or chapters that link to your video clips. create and watch your video in traditional tv (4:3.0) or widescreen (16:9) format in ntsc or pal standard for a worldwide audience. give your audience high-quality sound by automatically converting audio to industry-standard dolby digital stereo allowing you to burn more video onto a single disc without sacrificing sound quality. before you burn make sure your movie is just as you envisioned it by watching a full-screen preview on your computer or tv. then burn your finished movie to a single- or dual-layer dvd. for sharing on portable devices export a movie in the mpeg-4 format. mpeg-4 files can then be viewed on virtually any portable device& 151;including the video ipod and sony playstation portable. supported formats premiere elements 3.0 import/export formats supported include: 3gp asf (import only) avi dolby digital stereo dv dvd h.264 jpeg jvc everio mod (import only) mpeg-1 mpeg-2 mpeg-4 png (import only) psd (import only) quicktime wav windows media wma (import only),adobe,99.99,b000hlt4y0
631,pcdefense,pcdefense protects you from: spyware - spyware scan removes the spyware that's compromising your privacy right now spyalarm blocks new spyware threats before they transmit your personal information to online criminals keyloggers: keylogger prevention stops malicious keyloggers from invading your privacy and stealing your identity rootkits: rootkit scan identifies hidden files and processes that are undetectable by conventional security suites viruses: virus scan delivers on-demand web-based scanning tools that are constantly updated protecting you against the latest virus threats system failure: recover from a catastrophic attack rootkit infestation or system failure using disaster recovery. disaster recovery restores your entire system - files settings and programs,avanquest software,29.95,b000hlt55i
632,monopoly here & now,,encore,19.95,b000hlt5g2
633,pc professor fuji's kakuro,professor fuji's kakuro offers the most puzzles and excitement for puzzle lovers at all levels! pick up a pencil and prepared to be stumped!,encore software,9.99,b000hpf7p6
634,pc hoyle jewels: swap & drop it,if you're addicted to jewel puzzles hoyle jewels: snap and drop is right for you! it's the most entertaining and challenging jewel-swap game you'll ever play. how many jewels can you drop into your treasure chest? find out with classic and levels modes -- or race in timed mode for the ultimate fast and furious swap challenge!,encore software,9.99,b000hpjgw6
635,1pk internet sec ste 2007 oem,1pk internet sec ste 2007 oem consumer bndl w/hw 3u,ca - oem,0.0,b000hvtk9e
636,digidesign music production toolkit (pro tools le),the digidesign music production toolkit includes a full range of professional music tools that expand the creative power of your pro tools le or pro tools m-powered system. it includes an impressive collection of plug-ins a multi-track version of beat detective rhythm analysis and correction tool up to 48 mono or stereo tracks at up to 96 khz (interface permitting) and the ability to export mixes as mp3 files. extensive plug-in collection the music production toolkit includes a host of powerful plug-ins that are ideal for creating and producing music. hybrid developed by the digidesign advanced instrument research group hybrid is a high-definition synthesizer that combines the warmth of classic analog waveforms with digital wavetables to produce the sounds of legendary synths or something completely unique. tl space native edition the tl space convolution reverb delivers the pristine sound of real reverberant spaces with a comprehensive library of reverb and effect impulses and the ability to add impulses easily. smack! le smack! le is a professional compressor/limiter plug-in designed for anyone who requires a great-sounding flexible and easy-to-use compression tool for music or any other type of audio material. soundreplacer soundreplacer lets you replace drum sounds or other audio easily and automatically while retaining the feel and dynamics of the original performance. digidesign intelligent noise reduction (dinr) le dinr le a...,digidesign,495.0,b000i0bp6k
637,equilibrium debabelizer pro 6.0 - 1 user,debabelizer pro 6 provides you with the image editing tools for better image processing. its optimization tools provide full palette control and image optimization for single and multi-frame images for individual images or batches. convert over 100 different file formats including many hard to find legacy formats. the automated workflow tools make it easier than ever to manage and control your media. enhanced gif and jpeg compression powerful conditional scripting cmyk support,equilibrium,599.99,b000i2jd0s
638,norton antivirus 2007,symantec's norton antivirus is the world's most trusted antivirus solution. norton antivirus 2007 offers the same level of protection along with new features and improvements. it removes viruses and security risks automatically; heuristically detects spyware threats detects and blocks internet worm attacks and protects email.,symantec,39.99,b000i2y0cy
639,nero 7 ultra edition enhanced,nero 7 ultra edition enhanced provides you with over 20 applications in one solution to complete all your digital media tasks on your pc and on your tv. the enhanced version now includes exciting new features to access your media files throughout your connected digital home share files with family and friends or take them with you on the go.audio rip audio cds and create music mixes for your mp3s amazing sound quality with aac & high efficiency aac (mpeg-4) convert favorite lps and tapes to cds without pops and cracks create custom playlists by artist genre and title mix and edit your music like a dj with multiple audio tracks up to 7.1 recording editing and mixing for hq mastering convert your audio files to your preferred format to take on the go record edit remix and remaster your music like the professionals do add audio effects to any track photos and video easily capture video from digital cameras camcorders video capture/tv tunercards and other devices enhanced support for hdv cameras easy creation of cd and dvd movie discs: support for all common formats such asvcd svcd mini-dvd dvd-video dvdvr create hollywood-style dvds with 2d and animated 3d menu templates backup dvd9 to dvd5: add new content chapters & keep subtitles support for all popular media formats including nero digital& 153; (mpeg-4) compress to fit mobile pdas home theater and hdtv standards capture edit and export high-definition (hd) video files,nero inc.,99.99,b000i4rmfe
640,ca internet security suite 2007 - 3 user,internet security 2007 gives you comprehensive protection against the many online dangers you can be exposed to while enjoying what the internet has to offer. protect yourself against viruses id thieves spyware spam and malicious hackers that can jeopardize your privacy. these award-winning business-strengthening tools will take the guesswork out of pc security giving you a safer online experience. anti-spam tools monitor inbound messages for spam verifies the authenticity of messages and confirms whether spam senders are people or automated spam robots on-demand scanning for specific files disks and folders use active protection to collect & transmit your personal data and update your protections to get proactive protection against new threats special 3-user license vista compatible,computer associates,69.95,b000i84dsy
641,jumpstart world 1st grade,welcome to jumpstart world 1st grade a series of 12 adventure packs or learning units that actually progresses in response to your child's own learning pace. it's super-personalized wildly imaginative and really fun but don't let that fool you--it also teaches critical skills correlated to state standards so kids get a real jumpstart in life. the world changes with the seasons and holidays over 80 learning games and missions unique 3d design and immersive play the smart fun way to achieve 1st grade success your child will make new friends visit the learning arcades art and music studio and complete fun missions to earn their first two leadership keys. stay connected as part of your jumpstart world experience we've designed a parents corner where you can get additional tips and ideas to help your child enjoy learning even more. get educational tips and creative ideas from our monthly gurus and experts. search hundreds of parent tips to help turn everyday moments into learning opportunitites. get instant access to tips and activities that reinforce your child's learning. reward your child studies show that children learn better when parents are involved. the super gem reward store allows you to reward your child's performance with customized certificates. delight your child with rewards that only you can create. create rewards that your child can redeem: a trip to the park going out for ice cream going ice skating and many more. use our simple tool to create your own rewards to honor your child's learning achievements. get your first 2 adventure packs today: over 80 learning games and missions that teach more than 40 skills subscribe to keep the adventure going: get a new adventure pack automatically downloaded to your computer for just $7.99 each. based on your child's progress--at least one each month. 12 total adventure packs per grade. each adventure pack includes: for kids: over 40 learning games and missions over 20 skills new areas of the world to discover one new badge to earn for parents: progress report e-mails and parent tips access to the member's website and online access to educational experts access to the super gems reward center see what your child can learn in jumpstart world at the heart of the jumpstart world is the learning curriculum containing hundreds of lessons around key skills to help your child advance progressively. take a tour of the specially designed 3d world new studies show that children who learn in rich media environments retain knowledge longer. jumpstart world surrounds your child in a 3d world with learning and fun as it rewards and recognizes each achievement along the way. key features of jumpstart world: children pick a character and explore a world full of exciting places. unique 3d design and immersive play make kids feel like they're inside a world of adventure and learning. challenging missions teach math reading spelling vocabulary science art and more. kids can import photos to decorate their world. they can create billboards cards and special pictures. new lands and new challenges open up according to your child's progress. includes sing-along music videos in the art and music studio that teach phonics the karaoke way. kids earn super gems at the math and reading arcades. they can then trade in their gems for special rewards. kids earn keys on their way to becoming the ultimate jumpscout leader. the world changes with the seasons and holidays using a real-time calendar. parents receive personalized progress reports and activity tips. ages 5-7 years skills taught math: addition subtraction telling time fractions picture graphs reading: phonics consonants vowels sentences comprehension critical thinking: problem solving patterns attributes classification social skills: friendship knowledge dedication and much more! benefits empowers children to succeed builds confidence rewards achievements enhances social skills stimulates creativity engages parents research: the building blocks of jumpstart world research has shown that children's play can encourage and improve their ability to learn. jumpstart world keeps children motivated to play and to learn because jumpstart world recognizes each achievement along the way. the result is non-stop play and learning that will involve the entire family. children and technology white paper (.pdf - 84k) jumpstart world white paper (.pdf - 124k),knowledge adventure,19.99,b000i84dts
